Document,User Turns,Model Turns,Total Turns,User Tokens,Model Tokens,Total Tokens
Participant 9.docx,5.0,5.0,10.0,93.0,236.0,329.0
Participant 20.docx,10.0,10.0,20.0,609.0,727.0,1336.0
Participant 16.docx,13.0,13.0,26.0,624.0,1094.0,1718.0
Participant 5.docx,6.0,6.0,12.0,235.0,452.0,687.0
Participant 4.docx,8.0,8.0,16.0,329.0,706.0,1035.0
Participant 17.docx,6.0,6.0,12.0,268.0,415.0,683.0
Participant 21.docx,6.0,6.0,12.0,250.0,348.0,598.0
Participant 8.docx,8.0,8.0,16.0,123.0,131.0,254.0
Participant 10.docx,4.0,4.0,8.0,259.0,192.0,451.0
Participant 3.docx,13.0,13.0,26.0,447.0,620.0,1067.0
Participant 2.docx,12.0,12.0,24.0,377.0,701.0,1078.0
Participant 11.docx,10.0,10.0,20.0,265.0,519.0,784.0
Participant 1.docx,5.0,5.0,10.0,83.0,74.0,157.0
Participant 12.docx,6.0,6.0,12.0,249.0,327.0,576.0
Participant 13.docx,5.0,5.0,10.0,642.0,560.0,1202.0
Participant 22.docx,7.0,7.0,14.0,92.0,114.0,206.0
Participant 18.docx,10.0,10.0,20.0,252.0,548.0,800.0
Participant 7.docx,12.0,12.0,24.0,358.0,652.0,1010.0
Participant 14.docx,10.0,10.0,20.0,469.0,789.0,1258.0
Participant 15.docx,7.0,7.0,14.0,268.0,384.0,652.0
Participant 6.docx,7.0,7.0,14.0,107.0,107.0,214.0
Participant 19.docx,4.0,4.0,8.0,275.0,321.0,596.0
Participant 23.docx,7.0,7.0,14.0,241.0,380.0,621.0
AVERAGE,7.869565217391305,7.869565217391305,15.73913043478261,300.6521739130435,452.04347826086956,752.695652173913
